SaleID,CustomerID,ProductID,Quantity,Price,SaleDate,CustomerName,ProductName,Region,SalesRep,TotalAmount,SalesDate
58,4878,365,9,575.04,2022-01-23 00:00:00,Rodney Burch,Keyboard,Asia,Matthew Scott,5175.3600,2022-01-23
59,1548,20,10,992.37,2021-01-24 00:00:00,Stephanie Miller,Laptop,Australia,Ethan Christian,9923.7000,2021-01-24
60,8889,493,2,327.07,2023-02-06 00:00:00,Michael King,Keyboard,Asia,Sandra Lindsey,654.1400,2023-02-06
61,8617,265,2,1070.55,2022-06-03 00:00:00,Mark Mckenzie MD,Laptop,Europe,Jamie Campbell,2141.1000,2022-06-03
62,8740,323,2,1383.94,2022-01-09 00:00:00,Kevin Walker,Headphones,Australia,Christina Lewis,2767.8800,2022-01-09
63,6119,314,1,1811.99,2021-12-31 00:00:00,Gary Fischer,Headphones,North America,Lee Oneill,1811.9900,2021-12-31
64,8681,233,9,1816.81,2022-03-21 00:00:00,Pamela Montes,Mouse,Asia,Wesley Rowe,16351.2900,2022-03-21
65,7897,181,5,613.96,2019-03-14 00:00:00,Amy Hill,Mouse,Australia,Nathan Snyder,3069.8000,2019-03-14
66,5981,373,10,557.86,2022-07-12 00:00:00,Tyler Ellis,Monitor,Australia,Heather Olson,5578.6000,2022-07-12
67,3770,294,1,1329.82,2020-08-20 00:00:00,Danielle Sullivan,Headphones,Africa,Andre Brown,1329.8200,2020-08-20
68,1447,147,8,210.89,2021-11-01 00:00:00,James Moore,Laptop,Asia,Heidi Phillips,1687.1200,2021-11-01
69,5129,68,10,597.9,2023-10-23 00:00:00,Allison Lawson,Tablet,North America,Yolanda Garrett,5979.0000,2023-10-23
70,2827,310,3,1824.76,2023-02-22 00:00:00,James Schneider,Smartphone,Africa,Kimberly Lindsey,5474.2800,2023-02-22
71,8317,190,3,559.44,2022-12-06 00:00:00,Gary Andrade,Smartphone,South America,Vanessa Rodriguez,1678.3200,2022-12-06
72,3962,410,9,1730.93,2020-12-03 00:00:00,Deanna Mcdonald,Laptop,Europe,Laura Bowen,15578.3700,2020-12-03
73,3525,429,8,1517.88,2021-04-25 00:00:00,Jill Owen,Headphones,South America,Bonnie Young,12143.0400,2021-04-25
74,4898,339,8,1465.7,2019-12-09 00:00:00,Bradley Cabrera,Smartphone,Australia,Mr. Nicholas Stewart,11725.6000,2019-12-09
75,6653,28,5,1523.19,2019-08-26 00:00:00,Adam Brown,Laptop,Europe,Kelly Blackwell,7615.9500,2019-08-26
76,8602,205,8,637.67,2023-03-09 00:00:00,Melinda Mclaughlin,Headphones,Australia,Victoria Patterson,5101.3600,2023-03-09
77,4828,195,7,975.45,2019-10-25 00:00:00,Stephanie Rodriguez,Keyboard,South America,Michelle Livingston,6828.1500,2019-10-25
78,1194,148,8,794.91,2020-10-08 00:00:00,Richard Everett,Keyboard,Africa,Teresa Gay,6359.2800,2020-10-08
79,1672,50,9,1292.98,2023-09-26 00:00:00,Ricky Romero,Monitor,Australia,John Johnston,11636.8200,2023-09-26
80,5466,172,5,570.82,2019-07-21 00:00:00,Brandon Garcia,Tablet,Africa,Courtney Butler,2854.1000,2019-07-21
81,7408,237,4,1481.91,2022-04-20 00:00:00,Anthony Kennedy,Headphones,Europe,Justin Gonzalez,5927.6400,2022-04-20
82,9518,173,3,660.88,2019-01-22 00:00:00,Nicole Adams,Mouse,North America,Ashley Barron,1982.6400,2019-01-22
83,2113,7,7,240.51,2019-08-01 00:00:00,Jessica Blanchard,Mouse,South America,Julie Manning,1683.5700,2019-08-01
84,6759,113,5,541.2,2019-03-11 00:00:00,Kayla Caldwell,Laptop,Australia,Kevin Bullock,2706.0000,2019-03-11
85,2506,30,10,1330.38,2023-09-08 00:00:00,Reginald Delgado,Smartphone,Australia,Richard Schmitt,13303.8000,2023-09-08
86,2995,363,2,218.45,2022-05-23 00:00:00,Ashley Cooper,Smartphone,South America,Seth West,436.9000,2022-05-23
87,4027,459,2,1406.52,2020-06-02 00:00:00,Mark Evans,Tablet,South America,Michael Phillips,2813.0400,2020-06-02
88,2240,328,8,1849.26,2020-07-20 00:00:00,Brian Craig,Headphones,South America,Richard Donaldson,14794.0800,2020-07-20
89,6298,132,3,1572.43,2020-07-21 00:00:00,Edward Schultz,Headphones,North America,Robert Fitzpatrick,4717.2900,2020-07-21
90,7271,199,6,1992.12,2020-06-12 00:00:00,Joseph Clark,Headphones,Asia,Christopher Flores,11952.7200,2020-06-12
91,3915,226,2,1008.86,2020-02-15 00:00:00,Megan Wilson,Keyboard,South America,Danielle Smith,2017.7200,2020-02-15
92,3923,331,8,261.44,2022-01-12 00:00:00,Margaret Tucker,Headphones,South America,Alicia Colon,2091.5200,2022-01-12
93,4578,315,2,1829.59,2023-01-05 00:00:00,Angela Hancock,Tablet,North America,Ashley Mooney,3659.1800,2023-01-05
94,1571,38,2,1164.12,2020-05-28 00:00:00,David Roberts,Headphones,South America,Helen Smith,2328.2400,2020-05-28
95,1307,460,8,340.27,2022-08-04 00:00:00,Connie Spence,Laptop,North America,Catherine Smith,2722.1600,2022-08-04
96,7397,137,3,1415.11,2021-03-12 00:00:00,Marcus Blanchard,Keyboard,North America,Joshua Brown,4245.3300,2021-03-12
97,9444,363,8,982.37,2021-04-07 00:00:00,David Perez,Headphones,Africa,Benjamin Wallace,7858.9600,2021-04-07
98,2148,277,4,56.45,2022-11-12 00:00:00,Elijah Klein,Headphones,South America,John Wright,225.8000,2022-11-12
99,2985,291,9,1873.33,2021-01-05 00:00:00,Susan Rodriguez,Tablet,Africa,Judith Shaw,16859.9700,2021-01-05
100,5961,206,1,1282.93,2022-08-18 00:00:00,Kristi Moreno,Laptop,Asia,Kayla Boone,1282.9300,2022-08-18
101,9759,437,6,206.89,2021-07-30 00:00:00,Henry Martin,Headphones,Asia,Brenda Padilla,1241.3400,2021-07-30
102,4327,91,9,126.7,2021-02-25 00:00:00,Rose Willis,Mouse,Europe,John Davis,1140.3000,2021-02-25
103,5896,357,7,1798.1,2022-07-15 00:00:00,Ruben Daugherty,Mouse,Asia,Kurt Church,12586.7000,2022-07-15
104,8970,44,8,1483.88,2019-10-14 00:00:00,Jill Mack,Laptop,Europe,Edward Lawson,11871.0400,2019-10-14
105,1415,369,10,515.05,2021-03-07 00:00:00,Andrew Calderon,Laptop,Australia,Gabriel Cook,5150.5000,2021-03-07
106,6041,256,9,1931.66,2023-07-21 00:00:00,Lindsey Beasley,Monitor,North America,Jonathan Myers,17384.9400,2023-07-21
107,1606,174,1,708.55,2023-01-16 00:00:00,Brandon Garza,Laptop,South America,Kimberly Daniel,708.5500,2023-01-16
108,2936,109,9,943.82,2022-10-20 00:00:00,Andrea Hines,Headphones,Australia,Patrick Kaiser,8494.3800,2022-10-20
109,3440,380,10,504.32,2019-05-28 00:00:00,Mary Mcpherson,Laptop,Africa,Michael Horton,5043.2000,2019-05-28
110,3319,251,1,968.88,2022-06-20 00:00:00,Debbie Castro,Laptop,Europe,Curtis Sanchez,968.8800,2022-06-20
111,3138,8,3,1283.69,2020-09-21 00:00:00,Jeffery Simpson,Headphones,North America,Christopher Gomez,3851.0700,2020-09-21
112,8474,313,3,1678.94,2019-05-11 00:00:00,Michael Mcdonald,Headphones,North America,Eric Romero,5036.8200,2019-05-11
113,2870,255,10,1608.39,2020-03-27 00:00:00,Carol Hooper,Laptop,Europe,Dean Valentine,16083.9000,2020-03-27
114,7983,173,7,682.26,2022-11-02 00:00:00,Rachel Reed,Keyboard,Australia,Lisa Smith,4775.8200,2022-11-02
115,3250,165,4,1540.24,2022-04-29 00:00:00,Virginia Wiley,Smartphone,Asia,Kristen Ramirez PhD,6160.9600,2022-04-29
116,2035,62,5,325.41,2021-04-30 00:00:00,Jennifer Hall,Smartphone,Africa,Adrian Lindsey,1627.0500,2021-04-30
117,7060,284,3,905.39,2022-04-06 00:00:00,Phyllis Freeman,Laptop,Europe,Julia Taylor,2716.1700,2022-04-06
118,2637,406,10,783.46,2019-11-20 00:00:00,Nathan Chase,Laptop,South America,Kelly Ross,7834.6000,2019-11-20
119,2322,4,1,399.86,2019-07-02 00:00:00,Rachel Pierce,Mouse,Africa,Tiffany Hernandez,399.8600,2019-07-02
120,5648,214,8,1400.1,2020-02-27 00:00:00,Madeline Smith,Smartphone,Africa,Katherine Harris,11200.8000,2020-02-27
121,5439,268,8,853.46,2019-12-24 00:00:00,Robert Young,Keyboard,Africa,Heather Torres,6827.6800,2019-12-24
122,1616,306,3,1448.54,2022-06-07 00:00:00,Kenneth Hernandez,Laptop,Africa,Nicholas Pierce,4345.6200,2022-06-07
123,5934,179,7,58.91,2020-04-27 00:00:00,Michael Wolfe,Smartphone,North America,Jessica Torres,412.3700,2020-04-27
124,9686,49,10,755.71,2023-04-08 00:00:00,Lisa Green,Keyboard,Australia,Steve Williams,7557.1000,2023-04-08
125,4592,238,4,589.03,2020-02-01 00:00:00,Eric Nichols,Laptop,Europe,Calvin Robles,2356.1200,2020-02-01
126,8772,255,3,361.53,2019-03-30 00:00:00,Jermaine Simmons,Laptop,Africa,Sheila Forbes,1084.5900,2019-03-30
127,6966,146,4,897.61,2020-11-15 00:00:00,Theresa Henson,Keyboard,South America,Brooke Contreras,3590.4400,2020-11-15
128,1709,54,1,1853.48,2019-12-27 00:00:00,Brandon Cooley,Smartphone,North America,Mark Brewer,1853.4800,2019-12-27
129,8947,264,2,188.18,2020-04-26 00:00:00,Kristen Moore,Mouse,South America,Lori Ferguson,376.3600,2020-04-26
130,6340,215,4,1506.82,2020-10-29 00:00:00,Tyler Thompson,Smartphone,North America,Jennifer Montgomery,6027.2800,2020-10-29
131,6343,117,2,512.38,2021-04-24 00:00:00,Bryan Andrews,Headphones,Europe,Desiree Reeves,1024.7600,2021-04-24
132,7152,457,4,193.38,2022-04-13 00:00:00,Misty Dennis,Monitor,North America,Sarah Winters,773.5200,2022-04-13
133,8141,75,4,1859.38,2021-07-20 00:00:00,Preston Glenn,Smartphone,South America,Sonya Johnson,7437.5200,2021-07-20
134,7119,70,8,1453.65,2022-07-18 00:00:00,Tracey Fuller,Tablet,Asia,Allison Hurst,11629.2000,2022-07-18
135,4313,172,3,112.58,2022-03-10 00:00:00,Marie Smith,Laptop,Asia,Tammie Watkins,337.7400,2022-03-10
136,3236,57,8,944.23,2019-12-17 00:00:00,Felicia Ryan,Headphones,Asia,Isaac Wood,7553.8400,2019-12-17
137,4602,454,5,1227.09,2023-06-05 00:00:00,Sean Potter,Headphones,Africa,Felicia Collins,6135.4500,2023-06-05
138,3784,296,9,1717.26,2019-06-27 00:00:00,Todd Martin,Monitor,Australia,Andrea Young,15455.3400,2019-06-27
139,9015,442,4,1203.58,2023-09-11 00:00:00,Justin Snyder,Monitor,Asia,Stacy Bailey,4814.3200,2023-09-11
140,1237,374,7,1485.55,2020-05-20 00:00:00,Kelly Cox,Smartphone,Asia,Edward Hansen,10398.8500,2020-05-20
141,8114,297,4,1789.05,2022-04-26 00:00:00,Michael Sanchez,Smartphone,Australia,Chloe Patel,7156.2000,2022-04-26
142,1083,214,1,128.11,2021-08-21 00:00:00,Daniel Barnes,Mouse,Australia,Kevin Pierce,128.1100,2021-08-21
143,1550,218,9,818.92,2023-07-17 00:00:00,Catherine Hall MD,Headphones,Africa,Luis Parks,7370.2800,2023-07-17
144,2605,232,8,519.0,2022-02-17 00:00:00,Allison Leon,Headphones,North America,Sharon Bell,4152.0000,2022-02-17
145,7662,487,4,308.79,2020-08-28 00:00:00,Lee Davies,Smartphone,Africa,Brittany Shaw,1235.1600,2020-08-28
146,2486,9,8,1354.62,2019-11-28 00:00:00,Margaret Cox,Mouse,South America,Catherine Rivera,10836.9600,2019-11-28
147,1399,500,8,954.33,2019-10-11 00:00:00,Ivan Tran,Headphones,Africa,Ryan Howard,7634.6400,2019-10-11
148,7641,95,6,1272.28,2022-12-12 00:00:00,Jeffrey Bird,Mouse,North America,Janet Lee,7633.6800,2022-12-12
149,2158,198,6,1085.29,2020-08-30 00:00:00,Linda Richards,Monitor,Asia,Erik Hull,6511.7400,2020-08-30
150,9887,295,4,1586.0,2019-06-15 00:00:00,Jacob Case,Keyboard,Asia,Charles Martinez,6344.0000,2019-06-15
151,1898,264,6,1781.56,2019-08-16 00:00:00,Rodney Lopez,Monitor,Asia,Gregory Sanders,10689.3600,2019-08-16
152,8624,317,1,762.86,2019-12-25 00:00:00,Isaiah Wallace,Mouse,Australia,Sarah Espinoza,762.8600,2019-12-25
153,2097,288,4,319.89,2020-11-16 00:00:00,Dr. Dwayne Thomas,Smartphone,Australia,Elizabeth Mcdonald,1279.5600,2020-11-16
154,2860,333,8,1487.89,2023-03-21 00:00:00,Kyle Smith,Keyboard,Africa,Shannon Miller,11903.1200,2023-03-21
155,4437,386,4,674.9,2020-07-01 00:00:00,Julie Morgan,Keyboard,Africa,Jessica Jones,2699.6000,2020-07-01
156,7929,142,1,173.57,2020-12-08 00:00:00,Carla Mullins,Monitor,South America,Kristin Kelly,173.5700,2020-12-08
157,9215,270,2,966.82,2021-12-25 00:00:00,Greg Miller,Mouse,Australia,Christopher Taylor,1933.6400,2021-12-25
158,5788,232,10,767.88,2022-10-10 00:00:00,Michelle Cox,Mouse,North America,Sarah Williams,7678.8000,2022-10-10
159,4085,457,8,220.25,2021-03-11 00:00:00,Cassandra Lee,Smartphone,Asia,Alexander Duncan,1762.0000,2021-03-11
160,2260,56,3,588.09,2022-11-28 00:00:00,Billy Ferguson,Smartphone,South America,Timothy Kline,1764.2700,2022-11-28
161,3465,448,4,1065.34,2022-07-08 00:00:00,Shelley Sanchez,Laptop,Asia,Jose Thomas,4261.3600,2022-07-08
162,7824,497,9,1866.86,2021-08-28 00:00:00,Shannon Roach,Tablet,South America,Carrie Ward,16801.7400,2021-08-28
163,8272,378,1,618.46,2019-05-09 00:00:00,William Anderson,Laptop,Europe,Lindsey Cole,618.4600,2019-05-09
164,9513,331,6,852.8,2020-12-03 00:00:00,David Cooper MD,Mouse,Africa,Sydney Chavez,5116.8000,2020-12-03
165,6346,249,10,1348.42,2021-12-21 00:00:00,Michelle Moore MD,Headphones,Australia,Willie Armstrong PhD,13484.2000,2021-12-21
166,8295,235,5,1156.14,2023-06-05 00:00:00,Rita Chavez,Tablet,Europe,Lisa Burns,5780.7000,2023-06-05
167,5259,117,8,775.21,2020-08-13 00:00:00,Donna Johnston,Headphones,North America,Sandra Gomez,6201.6800,2020-08-13
168,3430,181,5,939.06,2019-12-07 00:00:00,Hannah Stevens,Keyboard,Europe,Breanna Peterson,4695.3000,2019-12-07
169,9770,147,3,1947.75,2023-09-15 00:00:00,Crystal Santos,Mouse,Africa,Wendy King,5843.2500,2023-09-15
170,3514,83,4,277.99,2020-10-10 00:00:00,John Stout,Keyboard,Europe,Edward Leblanc,1111.9600,2020-10-10
171,8223,134,6,409.77,2022-02-25 00:00:00,Julia Jimenez,Mouse,North America,Brittany Torres,2458.6200,2022-02-25
172,6192,177,3,777.18,2022-01-10 00:00:00,Casey Rogers,Smartphone,Australia,Ryan Phillips,2331.5400,2022-01-10
173,5940,63,1,838.9,2021-10-19 00:00:00,Kimberly Kemp,Headphones,Europe,Kyle Moody,838.9000,2021-10-19
174,8504,476,6,354.3,2023-02-21 00:00:00,Jennifer Miller,Keyboard,Australia,Mark Sanchez,2125.8000,2023-02-21
175,6427,332,5,974.13,2020-08-16 00:00:00,David Hahn,Headphones,Australia,Linda Cabrera,4870.6500,2020-08-16
176,3409,410,10,1470.66,2021-06-24 00:00:00,Eric Anderson,Tablet,Africa,Christopher Williams,14706.6000,2021-06-24
177,2840,375,8,1805.34,2019-10-13 00:00:00,Brian Snyder,Mouse,Australia,Lynn Cole,14442.7200,2019-10-13
178,2914,158,1,833.18,2023-09-19 00:00:00,Vincent Reynolds,Smartphone,South America,Connie Powell,833.1800,2023-09-19
179,6855,48,6,157.32,2022-08-06 00:00:00,Joshua Reyes,Smartphone,Australia,Justin Floyd,943.9200,2022-08-06
180,9625,114,5,431.65,2019-06-21 00:00:00,Jenna Torres,Keyboard,South America,Mason Lynch,2158.2500,2019-06-21
181,2431,500,9,819.13,2021-10-01 00:00:00,David Lopez,Tablet,Australia,Christopher Reyes,7372.1700,2021-10-01
182,9381,484,1,1821.47,2021-01-09 00:00:00,Carol Cherry,Monitor,Europe,Paula Kelly DDS,1821.4700,2021-01-09
183,8006,190,7,777.02,2020-08-05 00:00:00,Samuel Hughes,Tablet,Asia,Kelly Jones,5439.1400,2020-08-05
184,6047,229,9,220.82,2023-01-30 00:00:00,Kyle Shea,Monitor,Africa,Connie Dennis,1987.3800,2023-01-30
185,7809,412,8,612.84,2023-07-09 00:00:00,Ashley Wood,Mouse,South America,Rachel Martinez,4902.7200,2023-07-09
186,7786,72,10,1215.97,2019-10-22 00:00:00,Travis Carpenter,Smartphone,Asia,David Arias,12159.7000,2019-10-22
187,8776,445,9,1973.94,2019-05-16 00:00:00,Francis Pope,Keyboard,South America,John Powell,17765.4600,2019-05-16
188,2449,4,7,1295.67,2020-07-13 00:00:00,Mary Anderson,Monitor,Europe,Todd Noble,9069.6900,2020-07-13
189,8571,364,10,1522.73,2019-10-08 00:00:00,Jason Rodriguez,Smartphone,Europe,Jennifer Sutton,15227.3000,2019-10-08
190,7254,149,9,1006.64,2023-08-13 00:00:00,Gary Mora,Headphones,Asia,Kiara Ramirez,9059.7600,2023-08-13
191,5979,253,9,1492.72,2020-04-04 00:00:00,James Gonzalez,Laptop,North America,Amber Hill,13434.4800,2020-04-04
192,3523,135,5,1914.25,2023-09-05 00:00:00,Adam White,Mouse,South America,Destiny Baxter,9571.2500,2023-09-05
193,3034,335,5,863.46,2021-10-04 00:00:00,Franklin Rodriguez,Mouse,Africa,John Anderson,4317.3000,2021-10-04
194,5009,15,2,1541.2,2021-10-06 00:00:00,Jeffrey Bryan,Laptop,Australia,Robert Jimenez,3082.4000,2021-10-06
195,6927,298,8,1152.87,2023-11-14 00:00:00,Danielle Smith,Tablet,Africa,Steven Tucker,9222.9600,2023-11-14
196,8799,499,2,777.74,2023-02-10 00:00:00,Shannon Wilson,Keyboard,North America,Ms. Christie Delgado,1555.4800,2023-02-10
197,5252,84,10,164.1,2020-10-16 00:00:00,Aimee Ward,Monitor,Africa,Kristina Warren,1641.0000,2020-10-16
198,3219,183,3,153.13,2021-01-09 00:00:00,Jacob Reilly,Monitor,Africa,Sarah Cooke,459.3900,2021-01-09
199,6832,25,5,618.74,2022-08-01 00:00:00,John White,Laptop,Australia,Kevin Dennis,3093.7000,2022-08-01
200,4175,393,3,1541.14,2022-05-11 00:00:00,Stephen Jackson,Headphones,Europe,William Garcia,4623.4200,2022-05-11
201,9908,166,6,1662.3,2022-11-03 00:00:00,Timothy Thompson,Headphones,Asia,Brittany Andrews,9973.8000,2022-11-03
202,5447,351,6,236.88,2022-04-02 00:00:00,Todd Ware,Tablet,Europe,Dr. Kelly Humphrey,1421.2800,2022-04-02
203,1211,71,9,598.76,2023-05-14 00:00:00,Christopher Petersen,Monitor,South America,Michael Herrera,5388.8400,2023-05-14
204,6575,472,3,249.71,2019-11-13 00:00:00,Amber Sellers,Keyboard,Europe,Taylor Garcia,749.1300,2019-11-13
205,4087,408,9,1246.19,2023-08-30 00:00:00,Michelle Fowler,Keyboard,Australia,Benjamin Mora,11215.7100,2023-08-30
206,2867,214,8,1836.26,2019-08-27 00:00:00,Roberto Davis,Headphones,Europe,Jeffrey Rodriguez,14690.0800,2019-08-27
207,1284,246,6,657.57,2021-01-12 00:00:00,Julie Holmes,Smartphone,South America,Dr. Catherine Howell,3945.4200,2021-01-12
208,9570,391,6,385.8,2020-09-15 00:00:00,Thomas Hopkins,Laptop,Africa,Victoria Garza,2314.8000,2020-09-15
209,2943,114,3,1720.79,2019-10-19 00:00:00,Anthony Dixon,Mouse,Europe,Anthony Fisher,5162.3700,2019-10-19
210,6036,65,4,303.93,2019-06-10 00:00:00,Keith Dalton,Monitor,Africa,Scott Mitchell,1215.7200,2019-06-10
211,2830,40,1,1560.65,2023-04-01 00:00:00,Joseph Johnson,Monitor,North America,April Odonnell,1560.6500,2023-04-01
212,4217,56,1,1596.46,2021-11-17 00:00:00,Timothy Walker,Keyboard,North America,Lisa Vaughan,1596.4600,2021-11-17
